,iou_at_5,acc_at_5,rec_at_5,pr_at_5,iou_at_25,acc_at_25,rec_at_25,pr_at_25,iou_at_50,acc_at_50,rec_at_50,pr_at_50,train_loss,fg_per_img,fg_zero_img_pct,mean_fg_iou,pct_fg_iou_lt_0_05,centre_hit,pct_gt_at_min_k,k_mean,k_std,k_median,cls_cost,loc_cost,assignment_switch_rate
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2606390003515875,43.12511244118461,0.8874204262385829,0.4424097631237442,0.0,0.1883243720419193,0.39612518272742847,11.674079895019531,1.1268411874771118,12.0,1.947974371310902,4.216137907208456,11.565339970579618
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.578583498398248,44.27976625902562,0.9397832990524713,0.4765438708010057,0.0,0.1877479003948694,1.9073135596829351,11.44696044921875,1.552843451499939,12.0,1.555809012076822,4.040757500356627,13.992440942350754
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.765575564700633,45.60071016879374,0.9486071085494716,0.5493734389547444,0.0,0.18719702281861164,3.6257712993490143,11.292230606079102,1.8022665977478027,12.0,2.681431297415944,3.721953822098103,19.02005276286562
4,0.03479145110377619,0.6325369738339022,0.01664988492520138,0.357096981374438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1269977358368815,45.59914255091104,0.9329046087888532,0.6084730978828391,0.0,0.18720853879783814,2.59514383923487,11.420981407165527,1.625256061553955,12.0,2.5990153625120254,3.432262262503794,18.804623820480753
5,0.19290726133927374,0.5612980769230769,0.08432825086306099,0.12115035392654634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9955615405458706,39.459347679028625,0.9230795578123528,0.6436309903231826,0.0,0.16279474081048162,1.8310319012456426,9.600543975830078,1.2402650117874146,10.0,3.09626959211425,3.2076035734538997,19.687193284908858
6,0.3212666652347068,0.523825559858562,0.1536608170310702,0.06801932789645145,0.01086028264166993,0.9254901960784314,0.008990218642117376,0.8137931034482758,0.0,0.0,0.0,0.0,3.771903589649933,39.42932372030894,0.9170619766067851,0.6618217460292595,0.0,0.16279227357224677,1.6066600725354434,9.630288124084473,1.1900138854980469,10.0,3.0627363744541176,3.1224312254692657,19.345158397656995
7,0.40364985817151766,0.4847036853957269,0.20371835443037975,0.055828636136468594,0.025771406023297996,0.8585858585858586,0.019131185270425777,0.6957708049113234,0.0,0.0,0.0,0.0,5.052842051999643,39.367101939461406,0.9136447317720597,0.6734265161709783,0.0,0.14100766583938876,0.05740319808392084,9.64781665802002,1.1800636053085327,10.0,3.22648399700684,2.9675685338527176,20.103347959765433
8,0.4718080879650515,0.3856902745278977,0.2672612197928654,0.05598369713408246,0.038726027932006524,0.7911392405063291,0.028013521288837745,0.6625441696113075,0.00010884796473936052,1.0,0.00010788262370540851,1.0,4.985096669699966,39.44435976262449,0.9119946564820127,0.6816312651040591,0.0,0.1409940677334696,0.056734126401654525,9.664124488830566,1.152866244316101,10.0,3.1581172758311795,2.9299940035702807,19.767445717099516
9,0.5246892848614367,0.3457746647796781,0.3312356156501726,0.04698424080441974,0.08927074573756454,0.7551682205107418,0.06742663981588032,0.6118226600985222,0.0015943737869912927,0.9761904761904762,0.0015103567318757191,0.9761904761904762,5.497758093494025,39.655163863642194,0.914011132296485,0.6835358868614101,0.0,0.14082156400999046,0.17793396954366195,9.543707847595215,1.380672574043274,10.0,4.209160544864037,2.9599085143452917,20.6988263947761
10,0.5464938909817574,0.34119128628871903,0.3674482163406214,0.041598651000167006,0.11950395395836111,0.7512562814070352,0.09500863060989644,0.5778398110371484,0.0021284391462665707,0.9821428571428571,0.0020138089758342925,0.9821428571428571,5.450813282367795,39.76417313070325,0.9167956623250006,0.6873300458377983,0.0,0.14079898043701525,0.1822445370181247,9.549509048461914,1.3711507320404053,10.0,4.17585470279932,2.94417816723407,20.525680927977362
11,0.558656806099176,0.3459014707394837,0.408012082853855,0.04258002111782684,0.18568988149956853,0.762589928057554,0.1550632911392405,0.5018831378456903,0.006169591453996775,0.9570552147239264,0.005789700805523591,0.9397590361445783,5.422039563492094,39.76920182976358,0.9037664058826044,0.6907796853186505,0.0,0.14080992828201339,0.1724632604115975,9.559060096740723,1.357284665107727,10.0,4.150778913656995,2.9273295954954883,20.33644245042541
12,0.5645997604048169,0.35054832695122196,0.42459004602991945,0.04168772709499604,0.22903120573612884,0.7551455823293173,0.19361334867663982,0.4463649851632048,0.012278856692301304,0.9732142857142857,0.012082853855005753,0.9533527696793003,5.391317623637701,39.82943429783159,0.9089198987618853,0.693451438508893,0.0,0.1408038048213736,0.1715276732896727,9.561315536499023,1.3534443378448486,10.0,4.127829569371847,2.9187887222331983,20.300692766345826
13,0.5696348344725106,0.3600972250354466,0.435126582278481,0.04043192889729862,0.29050542893811304,0.7180841033377333,0.23888808975834291,0.3556717881660673,0.026904765118811853,0.9579375848032564,0.026287399309551207,0.9216710182767625,5.367932052209998,39.87217556403195,0.9125429758992868,0.6957299338166715,0.0,0.14081115533873495,0.16977498479627,9.56493091583252,1.347806453704834,10.0,4.111729052173151,2.910335501177889,20.203584858083694
14,0.5746583635117017,0.3660998418617364,0.4592203682393556,0.041517955984590175,0.3221292499293135,0.6964113292565175,0.27046173762945913,0.33411828289067325,0.034607637158924044,0.9483667017913593,0.03333573072497123,0.9155645981688708,5.347141327504663,39.91453079166346,0.9030966980526977,0.6974392286622307,0.0,0.1407929646703755,0.1634592539795676,9.569801330566406,1.3396153450012207,10.0,4.095324559265109,2.9017329518770434,20.12746702080021
15,0.5781302137352082,0.380430172674947,0.467527330264672,0.0410258979111356,0.37114035056616457,0.6644628099173554,0.3089398734177215,0.2802721847286519,0.063694641150459,0.95,0.06077387802071346,0.8849036402569593,4.840190559158201,40.250936393644494,0.9021874839658623,0.6964907223156172,0.0,0.11062430370862655,0.1626278893370261,9.57113265991211,1.3363655805587769,10.0,3.9958032408806052,2.7411777215961277,20.74984083952516
